,sentence,unviolated_sentence,condition,interference,transition,violation,trigger_number,filler,quantity,tokens,token_scores,sentence_score
5709,The plumbers who love the kind charming doctor cheats.,The plumbers who love the kind charming doctor cheat.,full,destructive,smooth,yes,plural,no,,"['The', 'Ġpl', 'umbers', 'Ġwho', 'Ġlove', 'Ġthe', 'Ġkind', 'Ġcharming', 'Ġdoctor', 'Ġcheat', '.', '<|endoftext|>']",[ -3.27810286  -9.89060214  -3.9273529   -3.07785795  -6.7016373  -2.56348803  -7.40515901 -12.19166372 -10.41795349 -12.36322786  -4.07342525  -4.63154604],-5.666591668051376
913,The waiters who avoid the clumsy clever plumber cheat.,The waiters who avoid the clumsy clever plumber cheat.,full,destructive,rough,no,plural,no,,"['The', 'Ġwait', 'ers', 'Ġwho', 'Ġavoid', 'Ġthe', 'Ġclumsy', 'Ġclever', 'Ġpl', 'umber', 'Ġcheat', '.', '<|endoftext|>']",[ -3.27810286  -9.34761807  -4.41248704  -3.44232939  -9.01424405  -1.74473569 -11.33034516 -12.43674473  -8.49909211  -2.76898188 -11.54514312  -3.62590025  -4.24961091],-4.412487041625975
8227,The farmer who likes the builders the least pray.,The farmer who likes the builders the least prays.,interpolation,destructive,absent,yes,singular,no,subtractive,"['The', 'Ġfarmer', 'Ġwho', 'Ġlikes', 'Ġthe', 'Ġbuilders', 'Ġthe', 'Ġleast', 'Ġpr', 'ays', '.', '<|endoftext|>']",[ -3.27810286 -10.3002396   -1.79431913  -9.31284333  -3.33161165 -12.90947717  -6.57997137  -3.08544158 -10.88096622  -1.84518434  -2.68601987  -4.51502992],-3.92332078294518
8969,The athlete who hates the farmers the least sings.,The athlete who hates the farmers the least sings.,interpolation,destructive,absent,no,singular,no,subtractive,"['The', 'Ġathlete', 'Ġwho', 'Ġhates', 'Ġthe', 'Ġfarmers', 'Ġthe', 'Ġleast', 'Ġsings', '.', '<|endoftext|>']",[ -3.27810286 -10.80349728  -2.45462036  -9.60704038  -2.27154537 -11.83228303  -6.21633143  -3.56854247 -12.34091184  -3.01441192  -3.88685609],-3.8868560937954353
14983,The bakers who love the actor the least cheats.,The bakers who love the actor the least cheat.,interpolation,destructive,absent,yes,plural,no,subtractive,"['The', 'Ġb', 'akers', 'Ġwho', 'Ġlove', 'Ġthe', 'Ġactor', 'Ġthe', 'Ġleast', 'Ġcheat', '.', '<|endoftext|>']",[ -3.27810286  -8.80350498  -5.10472106  -3.65498356  -4.62313081  -2.68894954 -12.59312442  -7.38170621  -4.00822448 -12.71949001  -2.05833433  -4.54855348],-4.585842149463479
11318,The lawyers that love the waiter the least climb.,The lawyers that love the waiter the least climb.,interpolation,destructive,absent,no,plural,no,subtractive,"['The', 'Ġlawyers', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġwaiter', 'Ġthe', 'Ġleast', 'Ġclimb', '.', '<|endoftext|>']",[ -3.27810286  -9.97121433  -5.12889095  -9.88122563  -2.75957105 -12.40190892  -6.32302856  -3.51935581 -12.93572995  -5.13712313  -4.85507963],-5.137123127638064
11063,The man who walks carefully although fairly quickly cheat.,The man who walks carefully although fairly quickly cheats.,control,absent,absent,yes,singular,no,,"['The', 'Ġman', 'Ġwho', 'Ġwalks', 'Ġcarefully', 'Ġalthough', 'Ġfairly', 'Ġquickly', 'Ġche', 'ats', '.', '<|endoftext|>']",[ -3.27810286  -6.04503633  -1.12516783  -8.45858004 -10.70554346 -11.56045532  -8.68704986  -5.72071074  -9.04018403  -2.20405961  -3.64606476  -5.10079194],-5.882873531456248
3737,The man who laughs happily though pretty quickly lies.,The man who laughs happily though pretty quickly lies.,control,absent,absent,no,singular,no,,"['The', 'Ġman', 'Ġwho', 'Ġlaughs', 'Ġhappily', 'Ġthough', 'Ġpretty', 'Ġquickly', 'Ġlies', '.', '<|endoftext|>']",[ -3.27810286  -6.04503633  -1.12516783 -12.08325198  -8.77741245  -7.85529324  -9.55728916  -5.09541319  -8.92264552  -3.88497159  -4.81275938],-6.045036325695958
1738,The tailors who run carefully yet fairly happily cheats.,The tailors who run carefully yet fairly happily cheat.,control,absent,absent,yes,plural,no,,"['The', 'Ġtail', 'ors', 'Ġwho', 'Ġrun', 'Ġcarefully', 'Ġyet', 'Ġfairly', 'Ġhappily', 'Ġcheat', '.', '<|endoftext|>']",[ -3.27810286  -9.79314424  -3.94284825  -3.56847384  -5.09432224 -10.68696594  -9.40740967  -6.4203339   -9.65301513 -12.06722257  -2.47441867  -5.16904454],-5.794689219281365
12055,The plumbers that run happily although rather quickly lie.,The plumbers that run happily although rather quickly lie.,control,absent,absent,no,plural,no,,"['The', 'Ġpl', 'umbers', 'Ġthat', 'Ġrun', 'Ġhappily', 'Ġalthough', 'Ġrather', 'Ġquickly', 'Ġlie', '.', '<|endoftext|>']",[ -3.27810286  -9.89060214  -3.9273529   -5.14282225  -4.26636502 -13.93891909 -10.91205594  -8.5021668   -6.45190428  -8.77394868  -4.14889523  -5.39704896],-5.9244766197796
8741,The tailor that dislikes the cool lazy baker pray.,The tailor that dislikes the cool lazy baker prays.,full,constructive,rough,yes,singular,no,,"['The', 'Ġtailor', 'Ġthat', 'Ġdisl', 'ikes', 'Ġthe', 'Ġcool', 'Ġlazy', 'Ġbaker', 'Ġpr', 'ays', '.', '<|endoftext|>']",[ -3.27810286 -13.01496887  -5.22639466 -10.89253237  -0.39013677  -2.12159729  -8.23739622 -11.50753021  -9.73719788  -9.6340027  -2.24910734  -3.06199645  -4.35155486],-5.226394663167156
5268,The painter who dislikes the nice careless teacher cheats.,The painter who dislikes the nice careless teacher cheats.,full,constructive,smooth,no,singular,no,,"['The', 'Ġpainter', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġnice', 'Ġcareless', 'Ġteacher', 'Ġche', 'ats', '.', '<|endoftext|>']",[ -3.27810286 -11.47234344  -2.66542819 -10.43825532  -0.27101139  -1.96501162  -9.62714382 -12.44423677  -7.9928589  -10.9432373  -0.38604357  -3.70028687  -4.10241704],-4.102417038286802
10544,The plumbers who dislike the careless clever bakers sings.,The plumbers who dislike the careless clever bakers sing.,full,constructive,rough,yes,plural,no,,"['The', 'Ġpl', 'umbers', 'Ġwho', 'Ġdislike', 'Ġthe', 'Ġcareless', 'Ġclever', 'Ġb', 'akers', 'Ġsing', '.', '<|endoftext|>']",[ -3.27810286  -9.89060214  -3.9273529   -3.07785795 -11.48501586  -1.68283081 -10.29001612 -11.83908083  -7.50903319  -3.39214329 -10.86109926  -4.08308408  -5.45243071],-5.452430707866842
9716,The women who love the happy clever chefs sing.,The women who love the happy clever chefs sing.,full,constructive,smooth,no,plural,no,,"['The', 'Ġwomen', 'Ġwho', 'Ġlove', 'Ġthe', 'Ġhappy', 'Ġclever', 'Ġchefs', 'Ġsing', '.', '<|endoftext|>']",[ -3.27810286  -8.20533749  -2.94232176  -6.01379396  -2.91969302 -10.0400085  -15.07190709 -11.53212739 -10.51850894  -3.39620203  -4.71072386],-6.013793963240489
14239,The painter that avoids the waiter the most pray.,The painter that avoids the waiter the most prays.,interpolation,constructive,absent,yes,singular,no,additive,"['The', 'Ġpainter', 'Ġthat', 'Ġavoids', 'Ġthe', 'Ġwaiter', 'Ġthe', 'Ġmost', 'Ġpr', 'ays', '.', '<|endoftext|>']",[ -3.27810286 -11.47234344  -5.95020301 -10.95655823  -2.03425599 -12.02376561  -6.75012204  -1.33001705 -10.70048524  -4.45992276  -2.22988129  -4.49124143],-5.22072221723384
13283,The tailor who avoids the farmer the least prays.,The tailor who avoids the farmer the least prays.,interpolation,constructive,absent,no,singular,no,subtractive,"['The', 'Ġtailor', 'Ġwho', 'Ġavoids', 'Ġthe', 'Ġfarmer', 'Ġthe', 'Ġleast', 'Ġpr', 'ays', '.', '<|endoftext|>']",[ -3.27810286 -13.01496887  -3.05802915 -10.24568171  -2.1099167 -10.02760321  -6.24388124  -3.3392792  -10.55895997  -4.13777925  -2.38362122  -4.33449559],-4.236137421549112
5779,The men who dislike the pilots the least prays.,The men who dislike the pilots the least pray.,interpolation,constructive,absent,yes,plural,no,subtractive,"['The', 'Ġmen', 'Ġwho', 'Ġdislike', 'Ġthe', 'Ġpilots', 'Ġthe', 'Ġleast', 'Ġpray', '.', '<|endoftext|>']",[ -3.27810286  -7.7463913   -3.20630642 -10.9085999   -2.20633699 -11.38652033  -6.89097594  -3.27615357 -11.34359744  -3.77891538  -5.15256499],-5.152564993397446
7492,The teachers that dislike the tailors the least cheat.,The teachers that dislike the tailors the least cheat.,interpolation,constructive,absent,no,plural,no,subtractive,"['The', 'Ġteachers', 'Ġthat', 'Ġdislike', 'Ġthe', 'Ġtail', 'ors', 'Ġthe', 'Ġleast', 'Ġcheat', '.', '<|endoftext|>']",[ -3.27810286 -10.52736661  -5.47636409 -10.59861753  -2.07557674 -11.07395178  -2.73061375  -6.49796299  -4.29872135 -13.52049256  -1.81262971  -4.89019775],-5.1832809184533
6247,The woman who avoids the gentle lazy waiters pray.,The woman who avoids the gentle lazy waiters prays.,full,destructive,smooth,yes,singular,no,,"['The', 'Ġwoman', 'Ġwho', 'Ġavoids', 'Ġthe', 'Ġgentle', 'Ġlazy', 'Ġwait', 'ers', 'Ġpr', 'ays', '.', '<|endoftext|>']",[ -3.27810286  -7.53363034  -1.33246611 -11.98191071  -2.54369354  -9.9992447  -13.19941713  -9.02677918  -3.86401361 -10.17350003  -3.03425599  -3.97866058  -4.85189819],-4.851898188749105
13744,The painter who loves the young lazy farmers cheats.,The painter who loves the young lazy farmers cheats.,full,destructive,rough,no,singular,no,,"['The', 'Ġpainter', 'Ġwho', 'Ġloves', 'Ġthe', 'Ġyoung', 'Ġlazy', 'Ġfarmers', 'Ġche', 'ats', '.', '<|endoftext|>']",[ -3.27810286 -11.47234344  -2.66542819  -7.53691862  -2.48944097  -7.72122955 -11.58774564  -8.55091092 -11.67958837  -1.5818443  -3.70436094  -4.45688629],-5.996902453274549
10715,The bakers who fear the friendly nice man swims.,The bakers who fear the friendly nice man swim.,full,destructive,smooth,yes,plural,no,,"['The', 'Ġb', 'akers', 'Ġwho', 'Ġfear', 'Ġthe', 'Ġfriendly', 'Ġnice', 'Ġman', 'Ġswim', '.', '<|endoftext|>']",[ -3.27810286  -8.80350498  -5.10472106  -3.65498356  -8.25312802  -1.75909422 -11.41928104 -11.41101836  -5.55121613 -12.50885009  -5.78215027  -4.43407823],-5.666683197638504
1212,The vets who dislike the young nice man cheat.,The vets who dislike the young nice man cheat.,full,destructive,rough,no,plural,no,,"['The', 'Ġvets', 'Ġwho', 'Ġdislike', 'Ġthe', 'Ġyoung', 'Ġnice', 'Ġman', 'Ġcheat', '.', '<|endoftext|>']",[ -3.27810286 -13.41484068  -2.99118042 -11.59275814  -1.77933499  -7.41020204 -11.93894191  -3.62897495 -11.75271608  -2.97133636  -4.89295957],-4.892959574910416
597,The author that hates the waiters the least smoke.,The author that hates the waiters the least smokes.,interpolation,destructive,absent,yes,singular,no,subtractive,"['The', 'Ġauthor', 'Ġthat', 'Ġhates', 'Ġthe', 'Ġwait', 'ers', 'Ġthe', 'Ġleast', 'Ġsmokes', '.', '<|endoftext|>']",[ -3.27810286  -7.04902647  -8.24243926  -8.88878634  -2.51211547 -10.51540375  -2.13547901  -7.04812619  -3.38842774 -13.9741211  -2.72650912  -3.82224271],-5.435184450786811
4883,The teacher who fears the lawyers the most cheats.,The teacher who fears the lawyers the most cheats.,interpolation,destructive,absent,no,singular,no,additive,"['The', 'Ġteacher', 'Ġwho', 'Ġfears', 'Ġthe', 'Ġlawyers', 'Ġthe', 'Ġmost', 'Ġche', 'ats', '.', '<|endoftext|>']",[ -3.27810286  -9.48058325  -1.81243135 -10.4490204   -2.86738589 -11.66678623  -7.39546972  -7.36016089 -15.75798799  -0.58485412  -4.27244566  -4.13339228],-5.816303270950305
8381,The vets that love the woman the least cooks.,The vets that love the woman the least cook.,interpolation,destructive,absent,yes,plural,no,subtractive,"['The', 'Ġvets', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġwoman', 'Ġthe', 'Ġleast', 'Ġcook', '.', '<|endoftext|>']",[ -3.27810286 -13.41484068  -5.00306704  -6.10456082  -2.71409609  -8.29067993  -6.2238312   -5.10305787 -11.35326386  -2.55709844  -4.30624394],-5.1030578732116165
11347,The bakers that fear the man the least pray.,The bakers that fear the man the least pray.,interpolation,destructive,absent,no,plural,no,subtractive,"['The', 'Ġb', 'akers', 'Ġthat', 'Ġfear', 'Ġthe', 'Ġman', 'Ġthe', 'Ġleast', 'Ġpray', '.', '<|endoftext|>']",[ -3.27810286  -8.80350498  -5.10472106  -5.85475162  -9.35147863  -1.71157839  -7.89712526  -6.10896303  -7.9784241  -11.55803683  -3.43999482  -4.18817138],-5.9818573258777175
11500,The plumber that laughs carefully yet pretty quickly pray.,The plumber that laughs carefully yet pretty quickly prays.,control,absent,absent,yes,singular,no,,"['The', 'Ġpl', 'umber', 'Ġthat', 'Ġlaughs', 'Ġcarefully', 'Ġyet', 'Ġpretty', 'Ġquickly', 'Ġpr', 'ays', '.', '<|endoftext|>']",[ -3.27810286  -9.89060214  -2.66838078  -5.75836945 -11.32067871 -11.13404085  -8.22217565  -9.85903167  -4.5435714   -7.96923064  -0.33615116  -2.54192348  -4.798996  ],-5.758369449832792
15123,The doctor that runs happily albeit rather carefully cheats.,The doctor that runs happily albeit rather carefully cheats.,control,absent,absent,no,singular,no,,"['The', 'Ġdoctor', 'Ġthat', 'Ġruns', 'Ġhappily', 'Ġalbeit', 'Ġrather', 'Ġcarefully', 'Ġche', 'ats', '.', '<|endoftext|>']",[ -3.27810286  -8.81159209  -4.92433167  -5.85552216 -14.27493672 -10.46595001  -6.31138611  -7.37549596 -10.74291229  -2.57378005  -3.04235839  -5.2443161 ],-6.083454133572353
11863,The tailors that drive happily although fairly quickly climbs.,The tailors that drive happily although fairly quickly climb.,control,absent,absent,yes,plural,no,,"['The', 'Ġtail', 'ors', 'Ġthat', 'Ġdrive', 'Ġhappily', 'Ġalthough', 'Ġfairly', 'Ġquickly', 'Ġclimb', '.', '<|endoftext|>']",[ -3.27810286  -9.79314424  -3.94284825  -4.79497527  -6.29448698 -14.63481903 -10.14973447  -8.53437045  -5.0799255   -8.97137452  -4.40131375  -5.66349793],-5.978992455559078
10089,The farmers that run happily though fairly quickly sing.,The farmers that run happily though fairly quickly sing.,control,absent,absent,no,plural,no,,"['The', 'Ġfarmers', 'Ġthat', 'Ġrun', 'Ġhappily', 'Ġthough', 'Ġfairly', 'Ġquickly', 'Ġsing', '.', '<|endoftext|>']",[ -3.27810286 -10.45383452  -4.55927273  -5.55184939 -13.3320618  -6.9007339  -10.97074892  -5.45422363 -11.83602141  -3.26515964  -5.68976595],-5.689765947732886
8751,The baker that hates the lazy gentle man cook.,The baker that hates the lazy gentle man cooks.,full,constructive,rough,yes,singular,no,,"['The', 'Ġbaker', 'Ġthat', 'Ġhates', 'Ġthe', 'Ġlazy', 'Ġgentle', 'Ġman', 'Ġcooks', '.', '<|endoftext|>']",[ -3.27810286 -12.60720063  -5.30545803  -8.72525792  -2.29945374  -9.27143861 -12.16441343  -4.13403315  -9.84551241  -3.64844516  -4.28973389],-5.3054580342304885
5689,The waiter who dislikes the proud nice woman swims.,The waiter who dislikes the proud nice woman swims.,full,constructive,smooth,no,singular,no,,"['The', 'Ġwaiter', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġproud', 'Ġnice', 'Ġwoman', 'Ġswim', 's', '.', '<|endoftext|>']",[ -3.27810286 -11.63503266  -2.79667666 -11.14999388  -0.70892333  -2.09733582 -12.77880102 -11.29425047  -4.67357633 -11.64577489  -4.16307449  -5.74336246  -5.44045255],-5.440452552063488
202,The tailors that love the charming young authors smokes.,The tailors that love the charming young authors smoke.,full,constructive,rough,yes,plural,no,,"['The', 'Ġtail', 'ors', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġcharming', 'Ġyoung', 'Ġauthors', 'Ġsmoke', '.', '<|endoftext|>']",[ -3.27810286  -9.79314424  -3.94284825  -4.79497527  -6.47098545  -2.78048326  -9.75036622  -5.97646331  -8.56098177 -12.45003511  -3.59789277  -5.1093674 ],-5.542915355064036
13608,The painters who fear the funny nice women pray.,The painters who fear the funny nice women pray.,full,constructive,smooth,no,plural,no,,"['The', 'Ġpain', 'ters', 'Ġwho', 'Ġfear', 'Ġthe', 'Ġfunny', 'Ġnice', 'Ġwomen', 'Ġpray', '.', '<|endoftext|>']",[ -3.27810286  -9.73519131  -5.15680308  -2.8360214  -10.21396634  -1.88733677 -10.3320389  -12.10064696  -5.59140017 -11.32420352  -4.59361267  -4.16556546],-5.374101621789306
2353,The doctor who hates the actor the least cheat.,The doctor who hates the actor the least cheats.,interpolation,constructive,absent,yes,singular,no,subtractive,"['The', 'Ġdoctor', 'Ġwho', 'Ġhates', 'Ġthe', 'Ġactor', 'Ġthe', 'Ġleast', 'Ġche', 'ats', '.', '<|endoftext|>']",[ -3.27810286  -8.81159209  -1.62087254 -11.2486496   -2.50435638  -9.26998143  -6.9946442   -4.37214657 -11.76160428  -0.73198317  -2.85343172  -4.2264786 ],-4.299312587434195
10294,The plumber who fears the lawyer the most climbs.,The plumber who fears the lawyer the most climbs.,interpolation,constructive,absent,no,singular,no,additive,"['The', 'Ġpl', 'umber', 'Ġwho', 'Ġfears', 'Ġthe', 'Ġlawyer', 'Ġthe', 'Ġmost', 'Ġclimbs', '.', '<|endoftext|>']",[ -3.27810286  -9.89060214  -2.66838078  -2.93478392  -9.69247436  -2.19702148 -12.8666382   -7.14027401  -6.12985229 -12.01448821  -4.03384397  -4.26255797],-5.196205129736259
13494,The athletes who hate the bakers the most swims.,The athletes who hate the bakers the most swim.,interpolation,constructive,absent,yes,plural,no,additive,"['The', 'Ġathletes', 'Ġwho', 'Ġhate', 'Ġthe', 'Ġb', 'akers', 'Ġthe', 'Ġmost', 'Ġswim', '.', '<|endoftext|>']",[ -3.27810286 -11.20796205  -2.33226012  -8.75485994  -1.93003847  -8.18055723  -5.85095985  -6.8370743   -0.33525847 -12.07238005  -4.96420286  -4.77964014],-5.407581351876474
12899,The chefs who avoid the waiters the least climb.,The chefs who avoid the waiters the least climb.,interpolation,constructive,absent,no,plural,no,subtractive,"['The', 'Ġchefs', 'Ġwho', 'Ġavoid', 'Ġthe', 'Ġwait', 'ers', 'Ġthe', 'Ġleast', 'Ġclimb', '.', '<|endoftext|>']",[ -3.27810286 -12.02133941  -2.61444095  -9.79811858  -2.11669923  -8.64470671  -2.99092865  -7.19947812  -3.8875351  -11.88168337  -3.65645599  -4.3948975 ],-4.14121629527021
850,The baker who dislikes the kind helpful plumbers lie.,The baker who dislikes the kind helpful plumbers lies.,full,destructive,smooth,yes,singular,no,,"['The', 'Ġbaker', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġkind', 'Ġhelpful', 'Ġpl', 'umbers', 'Ġlies', '.', '<|endoftext|>']",[ -3.27810286 -12.60720063  -2.6211243  -11.03918455  -0.47403721  -2.0175629   -7.25899507 -15.0055485   -9.39670564  -3.15057377 -13.61923219  -1.81056972  -5.10172272],-5.101722718385809
4179,The man who fears the lazy nice authors lies.,The man who fears the lazy nice authors lies.,full,destructive,rough,no,singular,no,,"['The', 'Ġman', 'Ġwho', 'Ġfears', 'Ġthe', 'Ġlazy', 'Ġnice', 'Ġauthors', 'Ġlies', '.', '<|endoftext|>']",[ -3.27810286  -6.04503633  -1.12516783 -10.38088986  -2.07746129 -15.13056947 -11.66265101 -13.43653868 -11.6779099   -3.22602841  -3.9961319 ],-6.045036325695958
7968,The lawyers that dislike the proud young farmer cheats.,The lawyers that dislike the proud young farmer cheat.,full,destructive,smooth,yes,plural,no,,"['The', 'Ġlawyers', 'Ġthat', 'Ġdislike', 'Ġthe', 'Ġproud', 'Ġyoung', 'Ġfarmer', 'Ġcheat', '.', '<|endoftext|>']",[ -3.27810286  -9.97121433  -5.12889095 -12.7761307   -1.94398497 -13.47030645  -5.86596684  -8.12696836 -12.78723145  -2.83348082  -4.93850708],-5.865966841841766
1155,The judges that fear the proud charming man sing.,The judges that fear the proud charming man sing.,full,destructive,rough,no,plural,no,,"['The', 'Ġjudges', 'Ġthat', 'Ġfear', 'Ġthe', 'Ġproud', 'Ġcharming', 'Ġman', 'Ġsing', '.', '<|endoftext|>']",[ -3.27810286 -10.01571657  -5.19640345 -11.01363369  -1.7611999 -13.04586798 -13.8450928   -4.67498016 -11.81967161  -4.24409485  -4.24697115],-5.196403446802577
2823,The waiter who likes the actors the most smoke.,The waiter who likes the actors the most smokes.,interpolation,destructive,absent,yes,singular,no,additive,"['The', 'Ġwaiter', 'Ġwho', 'Ġlikes', 'Ġthe', 'Ġactors', 'Ġthe', 'Ġmost', 'Ġsmokes', '.', '<|endoftext|>']",[ -3.27810286 -11.63503266  -2.79667666  -9.27642064  -3.43116383 -11.73007198  -6.64311982  -0.78292083 -11.80018613  -3.53349304  -5.60045626],-5.600456257855721
10675,The actor who dislikes the chefs the most swims.,The actor who dislikes the chefs the most swims.,interpolation,destructive,absent,no,singular,no,additive,"['The', 'Ġactor', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġchefs', 'Ġthe', 'Ġmost', 'Ġswim', 's', '.', '<|endoftext|>']",[ -3.27810286  -8.32245635  -2.6943054  -11.04679103  -0.09609606  -2.25531767 -12.48033142  -6.85805509  -0.49367523 -13.41637418  -0.70518492  -4.3998795   -4.42561334],-4.399879496332616
5226,The bakers who fear the woman the most climbs.,The bakers who fear the woman the most climb.,interpolation,destructive,absent,yes,plural,no,additive,"['The', 'Ġb', 'akers', 'Ġwho', 'Ġfear', 'Ġthe', 'Ġwoman', 'Ġthe', 'Ġmost', 'Ġclimb', '.', '<|endoftext|>']",[ -3.27810286  -8.80350498  -5.10472106  -3.65498356  -8.25312802  -1.75909422 -10.01033021  -6.70050807  -2.20156097 -12.24629206  -5.09681699  -4.26419065],-5.100769025474928
6505,The teachers who fear the plumber the most climb.,The teachers who fear the plumber the most climb.,interpolation,destructive,absent,no,plural,no,additive,"['The', 'Ġteachers', 'Ġwho', 'Ġfear', 'Ġthe', 'Ġpl', 'umber', 'Ġthe', 'Ġmost', 'Ġclimb', '.', '<|endoftext|>']",[ -3.27810286 -10.52736661  -2.6093598   -7.91400147  -2.21191403  -9.46933744  -4.17626189  -7.46105961  -0.47869108 -11.56958002  -6.04278562  -4.25610353],-5.149444571799142
