,Unnamed: 0,trial,sentence,condition,interference,transition,violation,trigger_number,filler,quantity,tokens,token_scores,sentence_score
159,159,159,The teachers that love the baker the least lie.,interpolation,destructive,absent,no,plural,no,subtractive,"['The', 'Ġteachers', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġbaker', 'Ġthe', 'Ġleast', 'Ġlie', '.', '<|endoftext|>']","[0.037699710577726364, 2.6793088181875646e-05, 0.004184516612440348, 0.0010524162789806724, 0.05566918104887009, 3.228941068300628e-06, 0.0017897014040499926, 0.022948257625102997, 6.912687967997044e-05, 0.10984647274017334, 0.006069420371204615]",0.0041845166124403
12425,12425,12425,The athlete who walks elegantly yet quite slowly sing.,control,absent,absent,yes,singular,no,,"['The', 'Ġathlete', 'Ġwho', 'Ġwalks', 'Ġeleg', 'antly', 'Ġyet', 'Ġquite', 'Ġslowly', 'Ġsing', '.', '<|endoftext|>']","[0.037699710577726364, 2.032828524534125e-05, 0.08589579910039902, 0.00023312107077799737, 7.540059868915705e-06, 0.9995499849319458, 0.00010359848965890706, 0.0006943957414478064, 0.005375321488827467, 1.4424483197217342e-05, 0.00643268134444952, 0.00823273602873087]",0.0030348586151376
2592,2592,2592,The doctor who laughs slowly yet rather elegantly prays.,control,absent,absent,no,singular,no,,"['The', 'Ġdoctor', 'Ġwho', 'Ġlaughs', 'Ġslowly', 'Ġyet', 'Ġrather', 'Ġeleg', 'antly', 'Ġpr', 'ays', '.', '<|endoftext|>']","[0.037699710577726364, 0.00014899585221428424, 0.19772610068321228, 2.418531039438676e-06, 3.737631777767092e-05, 0.0002839485532604158, 0.00017468887381255627, 0.0029162527061998844, 0.9995652437210083, 2.7796284484793432e-05, 0.6082545518875122, 0.03454653546214104, 0.00702712731435895]",0.0029162527061998
5198,5198,5198,The chefs who run slowly yet fairly quietly sings.,control,absent,absent,yes,plural,no,,"['The', 'Ġchefs', 'Ġwho', 'Ġrun', 'Ġslowly', 'Ġyet', 'Ġfairly', 'Ġquietly', 'Ġsings', '.', '<|endoftext|>']","[0.037699710577726364, 6.014487553329673e-06, 0.07320870459079742, 0.006357980892062187, 4.7753069338796195e-06, 0.0004415700095705688, 0.0004585755232255906, 0.0035279933363199234, 2.5455372565375e-07, 0.020587800070643425, 0.003981425426900387]",0.0035279933363199
9679,9679,9679,The plumbers that walk elegantly yet fairly quickly cook.,control,absent,absent,no,plural,no,,"['The', 'Ġpl', 'umbers', 'Ġthat', 'Ġwalk', 'Ġeleg', 'antly', 'Ġyet', 'Ġfairly', 'Ġquickly', 'Ġcook', '.', '<|endoftext|>']","[0.037699710577726364, 5.06484393554274e-05, 0.019695740193128586, 0.005841181147843599, 0.000945375650189817, 1.5107324315977166e-06, 0.9997444748878479, 2.6472858735360205e-05, 0.000548098178114742, 0.011003976687788963, 8.729555702302605e-06, 0.015004320070147514, 0.0030894733499735594]",0.0030894733499735
10684,10684,10684,The vet that loves the gentle happy barber cook.,full,constructive,rough,yes,singular,no,,"['The', 'Ġvet', 'Ġthat', 'Ġloves', 'Ġthe', 'Ġgentle', 'Ġhappy', 'Ġbar', 'ber', 'Ġcook', '.', '<|endoftext|>']","[0.037699710577726364, 7.86978671385441e-06, 0.005017656832933426, 0.0007885481463745236, 0.048610009253025055, 0.00012431984941940755, 3.5788205423159525e-05, 0.0002561858273111284, 0.058247849345207214, 1.6042082506828592e-06, 0.026078684255480766, 0.013841940090060234]",0.0029031024896539
10031,10031,10031,The actor that loves the clever friendly man swims.,full,constructive,smooth,no,singular,no,,"['The', 'Ġactor', 'Ġthat', 'Ġloves', 'Ġthe', 'Ġclever', 'Ġfriendly', 'Ġman', 'Ġswim', 's', '.', '<|endoftext|>']","[0.037699710577726364, 0.0002429982414469123, 0.0018013590015470982, 0.0005397448549047112, 0.04779617488384247, 4.055582394357771e-05, 2.2500232716993196e-06, 0.009445938281714916, 5.330939529812895e-06, 0.042423319071531296, 0.006336092948913574, 0.008689865469932556]",0.0040687259752303
6497,6497,6497,The chefs that detest the helpful lazy actors smokes.,full,constructive,rough,yes,plural,no,,"['The', 'Ġchefs', 'Ġthat', 'Ġdet', 'est', 'Ġthe', 'Ġhelpful', 'Ġlazy', 'Ġactors', 'Ġsmokes', '.', '<|endoftext|>']","[0.037699710577726364, 6.014487553329673e-06, 0.009196200408041477, 6.036691956978757e-06, 0.5533532500267029, 0.1458091139793396, 1.094500930776121e-06, 4.3148731492692605e-05, 6.409356137737632e-05, 2.205535025723293e-07, 0.036030858755111694, 0.008393960073590279]",0.0042290268174838
14389,14389,14389,The lawyers that hate the funny cool plumbers pray.,full,constructive,smooth,no,plural,no,,"['The', 'Ġlawyers', 'Ġthat', 'Ġhate', 'Ġthe', 'Ġfunny', 'Ġcool', 'Ġpl', 'umbers', 'Ġpray', '.', '<|endoftext|>']","[0.037699710577726364, 4.672578870668076e-05, 0.005923125892877579, 4.5438391680363566e-05, 0.09801827371120453, 9.31662907532882e-06, 3.5310324165038764e-05, 4.533970059128478e-05, 0.03264094516634941, 2.5777868359000422e-05, 0.006974357180297375, 0.007611596956849098]",0.0029849258407921
7880,7880,7880,The teacher that likes the baker very much cheat.,interpolation,constructive,absent,yes,singular,no,additive,"['The', 'Ġteacher', 'Ġthat', 'Ġlikes', 'Ġthe', 'Ġbaker', 'Ġvery', 'Ġmuch', 'Ġcheat', '.', '<|endoftext|>']","[0.037699710577726364, 7.631941116414964e-05, 0.0032341359183192253, 0.00015021256695035845, 0.030271774157881737, 4.622986580216093e-06, 0.00048551030340604484, 0.9562910199165344, 2.801960761189548e-07, 0.05218356475234032, 0.006716493517160416]",0.0032341359183192
14261,14261,14261,The waiter that likes the banker the least smokes.,interpolation,constructive,absent,no,singular,no,subtractive,"['The', 'Ġwaiter', 'Ġthat', 'Ġlikes', 'Ġthe', 'Ġbanker', 'Ġthe', 'Ġleast', 'Ġsmokes', '.', '<|endoftext|>']","[0.037699710577726364, 8.850534868543036e-06, 0.0039015887305140495, 0.0002277173480251804, 0.036794379353523254, 2.6422098926559556e-06, 0.0034886470530182123, 0.02925870753824711, 3.00380861517624e-06, 0.0689450055360794, 0.006483529228717089]",0.003901588730514
1533,1533,1533,The chefs who hate the painters the least lies.,interpolation,constructive,absent,yes,plural,no,subtractive,"['The', 'Ġchefs', 'Ġwho', 'Ġhate', 'Ġthe', 'Ġpain', 'ters', 'Ġthe', 'Ġleast', 'Ġlies', '.', '<|endoftext|>']","[0.037699710577726364, 6.014487553329673e-06, 0.07320870459079742, 9.4443435955327e-05, 0.09404847025871277, 0.0007721937727183104, 0.0016914005391299725, 0.0013013365678489208, 0.01186586357653141, 1.6043061350501375e-06, 0.018880611285567284, 0.006618066690862179]",0.004154733614996
7369,7369,7369,The pilots who dislike the bakers very little cheat.,interpolation,constructive,absent,no,plural,no,subtractive,"['The', 'Ġpilots', 'Ġwho', 'Ġdislike', 'Ġthe', 'Ġb', 'akers', 'Ġvery', 'Ġlittle', 'Ġcheat', '.', '<|endoftext|>']","[0.037699710577726364, 1.685904135229066e-05, 0.03067409247159958, 3.730436674231896e-06, 0.19754818081855774, 0.00022480179904960096, 0.002912272932007909, 0.0003074083069805056, 0.004001859575510025, 1.1707801604643464e-05, 0.12505681812763214, 0.002976085990667343]",0.0029441794613376
13273,13273,13273,The waiter who loves the proud young barbers smoke.,full,destructive,smooth,yes,singular,no,,"['The', 'Ġwaiter', 'Ġwho', 'Ġloves', 'Ġthe', 'Ġproud', 'Ġyoung', 'Ġbar', 'bers', 'Ġsmoke', '.', '<|endoftext|>']","[0.037699710577726364, 8.850534868543036e-06, 0.06101249158382416, 0.0001485996472183615, 0.04435456916689873, 2.7900696295546368e-06, 0.0017356574535369873, 0.0013590111630037427, 0.028428807854652405, 7.414862324139904e-08, 0.03133043646812439, 0.006225594785064459]",0.0039806261193007
7528,7528,7528,The athlete that likes the friendly kind tailors sings.,full,destructive,rough,no,singular,no,,"['The', 'Ġathlete', 'Ġthat', 'Ġlikes', 'Ġthe', 'Ġfriendly', 'Ġkind', 'Ġtail', 'ors', 'Ġsings', '.', '<|endoftext|>']","[0.037699710577726364, 2.032828524534125e-05, 0.005116582382470369, 0.0003883841563947499, 0.03633340448141098, 2.220530222984962e-05, 0.000641085091046989, 8.516997695551254e-06, 0.01907244138419628, 5.509653419721872e-06, 0.051858119666576385, 0.00932329148054123]",0.0028788337367586
9195,9195,9195,The builders that detest the nice careless woman lies.,full,destructive,smooth,yes,plural,no,,"['The', 'Ġbuilders', 'Ġthat', 'Ġdet', 'est', 'Ġthe', 'Ġnice', 'Ġcareless', 'Ġwoman', 'Ġlies', '.', '<|endoftext|>']","[0.037699710577726364, 1.1416104825912043e-05, 0.005723091773688793, 1.544265978736803e-05, 0.12609535455703735, 0.21906833350658417, 6.579898035852239e-05, 1.7152570990219829e-06, 0.001504839165136218, 3.992919664597139e-05, 0.0806233286857605, 0.006786805111914873]",0.0036139654694125
7979,7979,7979,The chefs that dislike the helpful proud man swim.,full,destructive,rough,no,plural,no,,"['The', 'Ġchefs', 'Ġthat', 'Ġdislike', 'Ġthe', 'Ġhelpful', 'Ġproud', 'Ġman', 'Ġswim', '.', '<|endoftext|>']","[0.037699710577726364, 6.014487553329673e-06, 0.009196200408041477, 8.853574399836361e-06, 0.12403912842273712, 1.8790327658280148e-06, 2.0139313505751488e-07, 0.017444666475057602, 1.4188831300998572e-05, 0.003434534417465329, 0.008915848098695278]",0.0034345344174653
10465,10465,10465,The doctor who detests the tailors the least swim.,interpolation,destructive,absent,yes,singular,no,subtractive,"['The', 'Ġdoctor', 'Ġwho', 'Ġdet', 'ests', 'Ġthe', 'Ġtail', 'ors', 'Ġthe', 'Ġleast', 'Ġswim', '.', '<|endoftext|>']","[0.037699710577726364, 0.00014899585221428424, 0.19772610068321228, 9.474180842516944e-06, 0.2025788128376007, 0.11901000887155533, 2.3315918951993808e-05, 0.12412811815738678, 0.0007121221860870719, 0.00028520781779661775, 1.5094190075615188e-06, 0.0038372045382857323, 0.009987028315663338]",0.0038372045382857
10715,10715,10715,The tailor that detests the doctors the most runs.,interpolation,destructive,absent,no,singular,no,additive,"['The', 'Ġtailor', 'Ġthat', 'Ġdet', 'ests', 'Ġthe', 'Ġdoctors', 'Ġthe', 'Ġmost', 'Ġruns', '.', '<|endoftext|>']","[0.037699710577726364, 2.2267468011705205e-06, 0.00537286140024662, 2.6977693778462708e-05, 0.26480183005332947, 0.12154444307088852, 8.957497630035505e-05, 0.0007681687129661441, 0.011082584038376808, 0.00032335295691154897, 0.003102488350123167, 0.008232799358665943]",0.0042376748751848
253,253,253,The teachers who detest the doctor very little runs.,interpolation,destructive,absent,yes,plural,no,subtractive,"['The', 'Ġteachers', 'Ġwho', 'Ġdet', 'est', 'Ġthe', 'Ġdoctor', 'Ġvery', 'Ġlittle', 'Ġruns', '.', '<|endoftext|>']","[0.037699710577726364, 2.6793088181875646e-05, 0.07358163595199585, 2.4032564397202805e-05, 0.6562514305114746, 0.16707469522953033, 0.00018223069491796196, 1.6362424503313377e-05, 0.006010574754327536, 5.568921892518119e-07, 0.001582204014994204, 0.00439749751240015]",0.0029898507636971
14416,14416,14416,The judges that dislike the author very little smoke.,interpolation,destructive,absent,no,plural,no,subtractive,"['The', 'Ġjudges', 'Ġthat', 'Ġdislike', 'Ġthe', 'Ġauthor', 'Ġvery', 'Ġlittle', 'Ġsmoke', '.', '<|endoftext|>']","[0.037699710577726364, 4.469197665457614e-05, 0.005536440759897232, 5.158101430424722e-06, 0.1479601413011551, 0.00029541298863478005, 0.0005232823314145207, 0.0038002619985491037, 2.6522475309320726e-06, 0.2006881982088089, 0.007597962394356728]",0.0038002619985491
11864,11864,11864,The athlete that runs slowly albeit quite quietly cheat.,control,absent,absent,yes,singular,no,,"['The', 'Ġathlete', 'Ġthat', 'Ġruns', 'Ġslowly', 'Ġalbeit', 'Ġquite', 'Ġquietly', 'Ġcheat', '.', '<|endoftext|>']","[0.037699710577726364, 2.032828524534125e-05, 0.005116582382470369, 0.0034256891813129187, 0.00010651502816472203, 9.21757600735873e-06, 0.003321761265397072, 0.007092136889696121, 1.1218713069638397e-07, 0.013455430045723915, 0.003435818711295724]",0.0034256891813129
702,702,702,The doctor who drives slowly although quite quickly prays.,control,absent,absent,no,singular,no,,"['The', 'Ġdoctor', 'Ġwho', 'Ġdrives', 'Ġslowly', 'Ġalthough', 'Ġquite', 'Ġquickly', 'Ġpr', 'ays', '.', '<|endoftext|>']","[0.037699710577726364, 0.00014899585221428424, 0.19772610068321228, 6.739379750797525e-05, 2.879658859455958e-05, 1.742741369525902e-05, 0.0007462008506990969, 0.013176366686820984, 0.00011444320989539847, 0.14639151096343994, 0.03604845702648163, 0.006589902099221945]",0.0036680514749605
4931,4931,4931,The waiters that drive elegantly although fairly quietly swims.,control,absent,absent,yes,plural,no,,"['The', 'Ġwait', 'ers', 'Ġthat', 'Ġdrive', 'Ġeleg', 'antly', 'Ġalthough', 'Ġfairly', 'Ġquietly', 'Ġswim', 's', '.', '<|endoftext|>']","[0.037699710577726364, 8.717281161807477e-05, 0.012124985456466675, 0.0026961672119796276, 0.004620507825165987, 5.456693088490283e-06, 0.993926465511322, 7.773473953420762e-06, 0.0005208884249441326, 0.0012144698994234204, 1.039456037688069e-05, 0.015466205775737762, 0.014082248322665691, 0.003151417477056384]",0.002923792344518
6913,6913,6913,The plumbers that drive elegantly though rather happily cheat.,control,absent,absent,no,plural,no,,"['The', 'Ġpl', 'umbers', 'Ġthat', 'Ġdrive', 'Ġeleg', 'antly', 'Ġthough', 'Ġrather', 'Ġhappily', 'Ġcheat', '.', '<|endoftext|>']","[0.037699710577726364, 5.06484393554274e-05, 0.019695740193128586, 0.005841181147843599, 0.004350445233285427, 1.8286838212588918e-06, 0.9591553211212158, 0.0005946917808614671, 8.957360842032358e-05, 1.7974858565139584e-05, 4.260974947101204e-06, 0.03913530334830284, 0.012222647666931152]",0.0043504452332854
8720,8720,8720,The doctor who dislikes the kind careless farmer lie.,full,constructive,rough,yes,singular,no,,"['The', 'Ġdoctor', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġkind', 'Ġcareless', 'Ġfarmer', 'Ġlie', '.', '<|endoftext|>']","[0.037699710577726364, 0.00014899585221428424, 0.19772610068321228, 8.519207767676562e-06, 0.03715446963906288, 0.10257973521947861, 0.00047745832125656307, 4.561710227335425e-07, 0.00010388342343503609, 4.11070277550607e-06, 0.01479493360966444, 0.00788834411650896]",0.0041829012188827
3022,3022,3022,The builder who dislikes the careless helpful tailor swims.,full,constructive,smooth,no,singular,no,,"['The', 'Ġbuilder', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġcareless', 'Ġhelpful', 'Ġtailor', 'Ġswim', 's', '.', '<|endoftext|>']","[0.037699710577726364, 1.896800495160278e-05, 0.03773438557982445, 2.39308355958201e-05, 0.4147302508354187, 0.18200519680976868, 9.189277989207767e-06, 5.293347271617677e-07, 7.378949703706894e-06, 5.8246841945219785e-06, 0.10195866227149963, 0.003500992199406028, 0.01331755518913269]",0.003500992199406
249,249,249,The builders that love the proud nice doctors cheats.,full,constructive,rough,yes,plural,no,,"['The', 'Ġbuilders', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġproud', 'Ġnice', 'Ġdoctors', 'Ġche', 'ats', '.', '<|endoftext|>']","[0.037699710577726364, 1.1416104825912043e-05, 0.005723091773688793, 0.0013980702497065067, 0.08493946492671967, 3.1381086955661885e-06, 1.2078249710611999e-05, 1.8680121911529568e-06, 1.7486681826994754e-05, 0.12790724635124207, 0.07464464753866196, 0.011825375258922577]",0.0035605810116976
14212,14212,14212,The athletes that like the young lazy men run.,full,constructive,smooth,no,plural,no,,"['The', 'Ġathletes', 'Ġthat', 'Ġlike', 'Ġthe', 'Ġyoung', 'Ġlazy', 'Ġmen', 'Ġrun', '.', '<|endoftext|>']","[0.037699710577726364, 1.3565753761213273e-05, 0.013802394270896912, 0.00023203689488582313, 0.04738317430019379, 0.00043448538053780794, 7.163390819187043e-06, 0.0031616766937077045, 0.0006647388217970729, 0.006443880498409271, 0.006878918502479792]",0.0031616766937077
1946,1946,1946,The teacher who detests the vet very little cook.,interpolation,constructive,absent,yes,singular,no,subtractive,"['The', 'Ġteacher', 'Ġwho', 'Ġdet', 'ests', 'Ġthe', 'Ġvet', 'Ġvery', 'Ġlittle', 'Ġcook', '.', '<|endoftext|>']","[0.037699710577726364, 7.631941116414964e-05, 0.1632567197084427, 1.9068411347689107e-05, 0.17270533740520477, 0.11627088487148285, 1.638946514503914e-06, 8.851548045640811e-06, 0.0005603302270174026, 1.9326606093272858e-07, 0.007448617368936539, 0.0101384986191988]",0.0040044737979769
1908,1908,1908,The lawyer that hates the vet very much smokes.,interpolation,constructive,absent,no,singular,no,additive,"['The', 'Ġlawyer', 'Ġthat', 'Ġhates', 'Ġthe', 'Ġvet', 'Ġvery', 'Ġmuch', 'Ġsmokes', '.', '<|endoftext|>']","[0.037699710577726364, 9.883702296065167e-05, 0.004011549986898899, 1.8941107555292547e-05, 0.10387051105499268, 7.5259790719428565e-06, 2.6063826226163656e-05, 0.9101283550262451, 2.805802068905905e-06, 0.04582367464900017, 0.012072510085999966]",0.0040115499868988
8766,8766,8766,The waiters that love the lawyers very much runs.,interpolation,constructive,absent,yes,plural,no,additive,"['The', 'Ġwait', 'ers', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġlawyers', 'Ġvery', 'Ġmuch', 'Ġruns', '.', '<|endoftext|>']","[0.037699710577726364, 8.717281161807477e-05, 0.012124985456466675, 0.0026961672119796276, 0.0036145239137113094, 0.05304093658924103, 4.771482963406015e-06, 8.824614633340389e-05, 0.9767903089523315, 5.16530781169422e-06, 0.0015937498537823558, 0.007266860920935869]",0.0031553455628454
10719,10719,10719,The judges that detest the lawyers the least pray.,interpolation,constructive,absent,no,plural,no,subtractive,"['The', 'Ġjudges', 'Ġthat', 'Ġdet', 'est', 'Ġthe', 'Ġlawyers', 'Ġthe', 'Ġleast', 'Ġpray', '.', '<|endoftext|>']","[0.037699710577726364, 4.469197665457614e-05, 0.005536440759897232, 3.5723009204957634e-05, 0.7140846252441406, 0.1735149472951889, 0.00016066350508481264, 0.001166653004474938, 1.9608225557021797e-05, 1.3585122360382229e-05, 0.039807744324207306, 0.009773259982466698]",0.003351546882186
13126,13126,13126,The judge that loves the happy charming bakers sing.,full,destructive,smooth,yes,singular,no,,"['The', 'Ġjudge', 'Ġthat', 'Ġloves', 'Ġthe', 'Ġhappy', 'Ġcharming', 'Ġb', 'akers', 'Ġsing', '.', '<|endoftext|>']","[0.037699710577726364, 0.0002764117962215096, 0.006888424511998892, 2.9239359719213098e-05, 0.08244022727012634, 4.2910720367217436e-05, 5.069014150649309e-07, 0.0013870634138584137, 0.008797935210168362, 4.9594755182624795e-06, 0.02174471877515316, 0.01637749932706356]",0.0041377439629286
